category,question,answer,cleaned_question,cleaned_answer
Mutual Funds,What are Mutual Funds?,"Mutual fund is an investment vehicle that brings together money from many people like you and invests it in
            stocks, bonds or other assets.
Example: ICICI Prudential Technology Fund invests your money, majorly in high growth technology companies
            like Infosys, Wipro, HCL Technologies,etc.",what are mutual funds?,"mutual fund is an investment vehicle that brings together money from many people like you and invests it in stocks, bonds or other assets. example: icici prudential technology fund invests your money, majorly in high growth technology companies like infosys, wipro, hcl technologies,etc."
Mutual Funds,Why should I invest with Jupiter Money?,"Pay less, earn more returns
Jupiter doesn’t charge any hidden commissions of 1.5% over and above your investment
                amount like other regular funds.
Jupiter doesn’t charge Penalties of up to Rs 750 that other banks charge in case you miss
                a SIP because of insufficient balance in your account
Easy investing
Since your Jupiter App is also your investing app:
- Jupiter doesn’t charge any hidden commissions of 1.5% over and above your investment amount like other
                regular funds.
- Jupiter doesn’t charge Penalties of up to Rs 750 that other banks charge in case you miss a SIP
                because of insufficient balance in your account
Easy investing
- No-Penalty SIP - If you’re ever running low on money in your Jupiter account, we will auto-skip your
                SIP. This way, there are no Penalty Charges to be paid
- One-click SIPs. None of the filling in paperwork and putting down your signature on forms
On-Click cancel for any SIP. No questions asked",why should i invest with jupiter money?,"pay less, earn more returns jupiter doesn’t charge any hidden commissions of 1.5% over and above your investment amount like other regular funds. jupiter doesn’t charge penalties of up to rs 750 that other banks charge in case you miss a sip because of insufficient balance in your account easy investing since your jupiter app is also your investing app: - jupiter doesn’t charge any hidden commissions of 1.5% over and above your investment amount like other regular funds. - jupiter doesn’t charge penalties of up to rs 750 that other banks charge in case you miss a sip because of insufficient balance in your account easy investing - no-penalty sip - if you’re ever running low on money in your jupiter account, we will auto-skip your sip. this way, there are no penalty charges to be paid - one-click sips. none of the filling in paperwork and putting down your signature on forms on-click cancel for any sip. no questions asked"
Mutual Funds,What are Direct Mutual Funds which Jupiter provides?,"Direct Mutual Funds are Mutual Funds with Zero Commissions or Brokerage charges. They offer up to 1.5% extra
            returns compared to other Mutual Funds",what are direct mutual funds which jupiter provides?,direct mutual funds are mutual funds with zero commissions or brokerage charges. they offer up to 1.5% extra returns compared to other mutual funds
Mutual Funds,Why should I invest in Mutual Funds?,"You can invest in Mutual funds as:
You can save upto Rs 46,800 in your taxes every year.
Your invested money compounds generating more money for you each year.
You learn to save money for your future and build financial discipline",why should i invest in mutual funds?,"you can invest in mutual funds as: you can save upto rs 46,800 in your taxes every year. your invested money compounds generating more money for you each year. you learn to save money for your future and build financial discipline"
Mutual Funds,Are Mutual Funds regulated?,"Mutual Fund companies are regulated by Securities and Exchange Board of India (SEBI). SEBI falls under the
            control of the Ministry of Finance of India.",are mutual funds regulated?,mutual fund companies are regulated by securities and exchange board of india (sebi). sebi falls under the control of the ministry of finance of india.
Mutual Funds,I don’t know what Mutual Funds to invest in. What do I do?,"To start investing, its important to know why you're investing. To help you with this, we've created Mutual
            Funds collections to get you started - :
- High Growth
- Tax Saving Funds
- Better than FD
- Low cost index funds
- SIP with 500.
Here you will find Mutual Funds most relevant to your investment objectives",i don’t know what mutual funds to invest in. what do i do?,"to start investing, its important to know why you're investing. to help you with this, we've created mutual funds collections to get you started - : - high growth - tax saving funds - better than fd - low cost index funds - sip with 500. here you will find mutual funds most relevant to your investment objectives"
Mutual Funds,What is the smallest amount I can invest in Mutual Funds?,"You can start investing in Mutual Funds with as little as Rs. 500
We've put together a Collection containing all Mutual Funds where you can start investing with Rs 500.",what is the smallest amount i can invest in mutual funds?,you can start investing in mutual funds with as little as rs. 500 we've put together a collection containing all mutual funds where you can start investing with rs 500.
Mutual Funds,Is investing in Mutual Funds difficult?,"Investing in Mutual Funds is a breeze on Jupiter. All you need to do is:
- Pick a Mutual Fund of your choice or select one from our curated “Collections”
- Choose between making a “SIP” or “One Time investment”
- Swipe to pay!
- That’s it! You’ve made your Mutual Fund investment",is investing in mutual funds difficult?,investing in mutual funds is a breeze on jupiter. all you need to do is: - pick a mutual fund of your choice or select one from our curated “collections” - choose between making a “sip” or “one time investment” - swipe to pay! - that’s it! you’ve made your mutual fund investment
Mutual Funds,How long does it take to get started with Mutual Funds on Jupiter?,"If you’re a verified user on the Jupiter app, you can make your investment in under 5 minutes",how long does it take to get started with mutual funds on jupiter?,"if you’re a verified user on the jupiter app, you can make your investment in under 5 minutes"
Mutual Funds,I’ve never been charged a Penalty before. Why should I choose No-Penalty SIPs?,"Its amazing that you’ve never been charged a Penalty. This shows you have financial discipline. Investing
            with No-Penalty SIP gives you a sense of freedom. So if ever you have an emergency or want to use your money
            for another cause, you can simply tap to skip your SIP. No Penalty Charges. No questions asked. The choice
            rests with you!",i’ve never been charged a penalty before. why should i choose no-penalty sips?,"its amazing that you’ve never been charged a penalty. this shows you have financial discipline. investing with no-penalty sip gives you a sense of freedom. so if ever you have an emergency or want to use your money for another cause, you can simply tap to skip your sip. no penalty charges. no questions asked. the choice rests with you!"
Mutual Funds,How is Jupiter not charging the Rs. 250-750 Penalty? Is there any catch or fine-print?,"When your SIP autopay mandate fails due to insufficient balance, you have to pay a penalty. AMCs don’t
            charge this penalty – banks do. Each bank would have their own penalty charge for not maintaining sufficient
            funds for the Electronic Clearing Service (ECS) mandate to go through. This penalty ranges from 250-750. At
            Jupiter, because you bank and invest on the same app, we smartly pause your SIP for the current month when
            your Jupiter balance is low. No charges, ever",how is jupiter not charging the rs. 250-750 penalty? is there any catch or fine-print?,"when your sip autopay mandate fails due to insufficient balance, you have to pay a penalty. amcs don’t charge this penalty – banks do. each bank would have their own penalty charge for not maintaining sufficient funds for the electronic clearing service (ecs) mandate to go through. this penalty ranges from 250-750. at jupiter, because you bank and invest on the same app, we smartly pause your sip for the current month when your jupiter balance is low. no charges, ever"
Mutual Funds,Do you mean I don’t get same day’s NAV elsewhere?,"Most Mutual Fund investment platforms may take a few working days to allocate units after you place an
            order. During this time the NAV can change. On Jupiter, you’re allotted units as per the NAV you see on the
            app (if you invest before 2 PM on working days).",do you mean i don’t get same day’s nav elsewhere?,"most mutual fund investment platforms may take a few working days to allocate units after you place an order. during this time the nav can change. on jupiter, you’re allotted units as per the nav you see on the app (if you invest before 2 pm on working days)."
DigiGold,What is Digital Gold on Jupiter?,"Digital Gold on Jupiter allows you to buy and sell 24K gold online at live market prices, starting from as
            low as ₹10. It’s 100% digital and secure with no making charges.",what is digital gold on jupiter?,"digital gold on jupiter allows you to buy and sell 24k gold online at live market prices, starting from as low as ₹10. it’s 100% digital and secure with no making charges."
DigiGold,How is my Digital Gold stored?,"Every gram of Digital Gold you purchase is stored as 24K physical Gold in lifetime-free vaults by our
            trusted partners.",how is my digital gold stored?,every gram of digital gold you purchase is stored as 24k physical gold in lifetime-free vaults by our trusted partners.
DigiGold,Can I start investing in Gold with just ₹10?,"Yes, you can purchase 24K Digital Gold with just ₹10 or more. You can either make a one-time investment or
            invest regularly with daily, weekly, and monthly SIPs.",can i start investing in gold with just ₹10?,"yes, you can purchase 24k digital gold with just ₹10 or more. you can either make a one-time investment or invest regularly with daily, weekly, and monthly sips."
DigiGold,Can I sell my Digital Gold anytime?,"Yes, you can instantly sell your Digital Gold at live market prices from the Jupiter app.",can i sell my digital gold anytime?,"yes, you can instantly sell your digital gold at live market prices from the jupiter app."
DigiGold,Can I get physical delivery of the gold?,"Currently, Jupiter offers only digital storage of gold. Physical delivery is not available.",can i get physical delivery of the gold?,"currently, jupiter offers only digital storage of gold. physical delivery is not available."
DigiGold,How is the price of Digital Gold determined?,Prices are updated live and reflect the current market rate of 24K gold with no making charges.,how is the price of digital gold determined?,prices are updated live and reflect the current market rate of 24k gold with no making charges.
DigiGold,Why should I invest in Digital Gold?,"Digital Gold lets you invest in 24K pure gold without worrying about storage or safety. Unlike traditional
            options, you can start small, track your gold value in real time, and sell it anytime you want. It’s a smart
            way to grow your savings and with Jupiter, the process is completely digital.",why should i invest in digital gold?,"digital gold lets you invest in 24k pure gold without worrying about storage or safety. unlike traditional options, you can start small, track your gold value in real time, and sell it anytime you want. it’s a smart way to grow your savings and with jupiter, the process is completely digital."
DigiGold,Can I set up automatic investments in Digital Gold?,"Yes, you can set up a daily, weekly, or monthly SIP to auto-invest in Digital Gold. You can also set up
            Magic Spends, a feature exclusively on Jupiter, to auto-invest in Gold every time you spend.",can i set up automatic investments in digital gold?,"yes, you can set up a daily, weekly, or monthly sip to auto-invest in digital gold. you can also set up magic spends, a feature exclusively on jupiter, to auto-invest in gold every time you spend."
